append_1k,ext4,nova,winefs,arckfs,squirrelfs
,0.0069526523715773385,0.009264478182822819,0.0759470902602595,1.4891465635525944,0.006320751537594244

append_16k,ext4,nova,winefs,arckfs,squirrelfs
,0.02457051078020154,0.014290515700981544,0.0361159202568618,1.1646919048393047,0.019328169054517296

read_1k,ext4,nova,winefs,arckfs,squirrelfs
,0.005037052709670606,0.005035568587557914,0.005784219134853035,0.0013018793904932212,0.005237193045897774

read_16k,ext4,nova,winefs,arckfs,squirrelfs
,0.01545160570944004,0.018580923523872542,0.01677349096044112,0.014045191203485411,0.015656275898182175

creat,ext4,nova,winefs,arckfs,squirrelfs
,0.034411889093742,0.014749046579355565,0.021525594788530236,0.02827031670293729,0.012388516618223506

mkdir,ext4,nova,winefs,arckfs,squirrelfs
,0.040061291791453756,0.04441316218194782,0.032698131995574295,0.054235927003816485,0.035781240881221546

rename,ext4,nova,winefs,arckfs,squirrelfs
,0.045591984558691886,0.02610224815988079,0.1340454927216876,0.04662514651695586,0.024786512784173573

unlink,ext4,nova,winefs,arckfs,squirrelfs
,0.006934848520335537,0.0070517512718473,0.10044962159709712,0.07764727509306889,0.01400159290937999

