fileserver,ext4,nova,winefs,squirrelfs
,7764.46,8419.79,7805.52,6236.41
,8483.95,8491.56,8798.78,3382.09
,8580.4,8626.66,7998.01,8223.74
,8501.51,8028.33,8455.76,6352.41
,8406.14,8163.02,8477.25,2993.07

varmail,ext4,nova,winefs,squirrelfs
,26198.74,26218.61,24821.39,22061.09
,25711.83,26145.03,26352.74,22562.34
,25956.53,25751.55,26279.68,26144.9
,26061.55,26119.06,25974.2,25716.65
,25792.27,26036.11,26082.77,25892.73

webserver,ext4,nova,winefs,squirrelfs
,177260.19,183800.91,190716.53,178862.89
,184605.6,183396.4,176498.51,176181.97
,170054.21,178898.06,192979.07,178093.04
,172680.12,185535.83,185354.99,181821.61
,183252.76,180924.95,174974.13,183581.35

webproxy,ext4,nova,winefs,squirrelfs
,41364.02,41350.93,41560.86,42349.95
,41121.41,41112.3,41493.75,37651.2
,40918.42,41275.22,41649.29,32454.09
,40918.83,41583.93,41153.83,41587.7
,41727.21,40864.33,41479.62,40582.24

